#Epoch 	  Loss mean 	 free energy mean 	 reconstruction error mean	 validation free energy mean 	 comparison_free_energy_mean
0	-2.93540423898	-46.9815533761	0.438013156778	-50.6053456389	-50.7174498183
1	-6.23408186931	-51.7905010875	0.319987993491	-53.8475642189	-54.0140760673
2	-5.64159716107	-54.5215720311	0.27878453857	-55.202003705	-55.3974712591
3	-4.61209730855	-56.0538857167	0.255213157127	-55.6600637874	-55.8702695944
4	-3.7528393663	-57.0093831098	0.241333551313	-57.5109929864	-57.7355284441
5	-3.19892934003	-57.8622690692	0.232321216872	-57.5554612754	-57.773783981
6	-2.88058622262	-58.6558778238	0.226013159281	-58.6738718753	-58.8952649218
7	-2.65535620196	-59.4624893616	0.220893090493	-59.311821183	-59.533534072
8	-2.42811216429	-60.1416954127	0.216658387529	-60.7868994036	-61.0068024076
9	-2.25919008225	-60.941550827	0.213325987521	-61.1161158326	-61.3310197668
10	-2.10971338296	-61.6272505451	0.210436514334	-62.3145242226	-62.5291625869
11	-1.92593441239	-62.5754517891	0.207183716329	-62.3927428463	-62.5901199453
12	-1.87749182438	-63.4895365677	0.20414704006	-63.3718674497	-63.5651873366
13	-1.90048077034	-64.6331240527	0.201339475418	-65.2790103226	-65.4733261997
14	-2.07867032076	-65.9003377918	0.197873849618	-66.9228205902	-67.1121633479
15	-2.28236322453	-67.7463945998	0.193454276574	-68.7494614193	-68.928281446
16	-2.49261580717	-69.5636413884	0.188203948109	-70.4770073733	-70.6532405551
17	-2.58650599	-71.6157387938	0.18261545975	-72.4842114819	-72.6356939925
18	-2.52029890194	-73.6216402244	0.176971053607	-74.67269484	-74.8248494293
19	-2.35736501588	-75.3574097434	0.172076647219	-75.9350324806	-76.0738635204
20	-2.13774969503	-76.9741070582	0.167938651223	-77.5783964903	-77.7121033389
21	-1.9570365767	-78.5967988102	0.16485411164	-79.0280146792	-79.1533967933
22	-1.76688300315	-80.0068658534	0.161861184396	-80.6444084169	-80.7713473978
23	-1.62788232378	-81.6067502605	0.159832236798	-82.1572455645	-82.2809197747
24	-1.4932287915	-83.0498041813	0.157387171921	-84.365407156	-84.4837186213
25	-1.40184961219	-84.4704831783	0.155345558336	-85.0472590391	-85.1666043194
26	-1.30196657108	-85.7850725863	0.153261348605	-86.3907346772	-86.5138220377
27	-1.22692264372	-87.0501770097	0.151691777141	-87.9312141781	-88.0507628281
28	-1.17431344389	-88.1897197688	0.150021216587	-88.7980600873	-88.9262478162
29	-1.13474570645	-89.2835903415	0.148780755307	-89.9071912397	-90.0364137012
30	-1.08547514345	-90.0932621568	0.147028455609	-90.7238458329	-90.8546347579
31	-1.0720386981	-91.0627272083	0.145656413938	-91.9013478113	-92.0414746598
32	-1.03806479674	-91.9671916429	0.144535198808	-92.6012397521	-92.7360969032
33	-0.961246071081	-92.8742772463	0.143073685075	-92.9982845286	-93.1336881219
34	-0.951419377369	-93.4047246834	0.141899669641	-93.5480400687	-93.6924385634
35	-0.898361485961	-94.0514231547	0.140600165254	-94.0315383174	-94.1750211389
36	-0.86430319486	-94.4644499093	0.139607893009	-94.5215097103	-94.6684997372
37	-0.831321572065	-94.8100422626	0.138642927534	-94.8790209812	-95.0322062978
38	-0.781312294367	-95.2728208526	0.13769342319	-95.4077995635	-95.5586628267
39	-0.743553986849	-95.7474765091	0.13687171042	-95.7233154982	-95.8788039802
40	-0.695632627022	-96.0322610169	0.135966776233	-95.856601456	-96.0100161165
41	-0.657685980037	-96.0634047	0.135279605263	-96.4610881277	-96.6217071808
42	-0.62165759742	-96.5131378749	0.134604606189	-96.2420445135	-96.3957610407
43	-0.594835338171	-96.6559606578	0.133986844044	-96.3343758814	-96.4930843312
44	-0.554458137884	-96.7761970357	0.133388978086	-96.6753945759	-96.8351780269
45	-0.549385335488	-96.9524136758	0.132787665254	-97.0265120375	-97.184931082
46	-0.548178836567	-97.1427995429	0.132246215877	-97.4079712507	-97.567561476
47	-0.507515032719	-97.5563912825	0.131537830359	-97.5184568609	-97.6739324022
48	-0.491910751919	-97.6287743029	0.131209047217	-97.7316481024	-97.8797473169
49	-0.480275887109	-97.8546615972	0.130752961887	-97.6825869229	-97.8380445232
50	-0.494278375487	-98.0500512013	0.130338815482	-98.2885244603	-98.4446236845
51	-0.477471933156	-98.2066285319	0.129888651402	-98.4585270543	-98.614928635
52	-0.461017574131	-98.3900252226	0.129621051644	-98.7329374538	-98.8877539155
53	-0.459893527501	-98.6791901334	0.129098356554	-98.8072153618	-98.9584977551
54	-0.449457595429	-98.833029297	0.128660362018	-98.3533249917	-98.4980514238
55	-0.431772354137	-98.9620115206	0.128116116712	-98.9306013043	-99.0790843317
56	-0.461683010546	-99.1344329194	0.127941282956	-99.2982153425	-99.4494274985
57	-0.456386527251	-99.421313009	0.127437336664	-99.6172912948	-99.7657799687
58	-0.471630964906	-99.6282488369	0.127146545994	-99.7511845442	-99.8913939161
59	-0.442114205019	-100.014525971	0.126643914141	-100.198534739	-100.343082706
60	-0.449219771736	-100.424885644	0.12619210466	-100.508814848	-100.648817668
61	-0.451001543967	-100.739021445	0.125850657491	-100.579541374	-100.728796236
62	-0.435578090735	-100.964518928	0.12526019545	-100.651247499	-100.783841116
63	-0.430516097229	-101.128539811	0.124932895758	-100.707737362	-100.846818098
64	-0.451328297733	-101.319055528	0.124809374543	-101.828982397	-101.967769631
65	-0.432250051251	-101.768719709	0.124109539154	-101.826169811	-101.966847496
66	-0.460914826314	-102.026009078	0.124126316293	-101.677388371	-101.814527636
67	-0.45539061637	-102.188408784	0.123698683554	-102.578674993	-102.720297793
68	-0.424217454428	-102.592801251	0.123007894347	-102.281484572	-102.414892436
69	-0.469246803946	-102.791537512	0.123052960556	-102.656024958	-102.788266937
70	-0.433692410841	-103.011595715	0.122475493895	-102.789397989	-102.923748726
71	-0.441407627457	-103.184514683	0.122189967648	-103.535372392	-103.679430135
72	-0.455216717171	-103.744199937	0.121840296215	-103.940671547	-104.076031546
73	-0.430941952877	-103.999525681	0.121484211009	-104.021281583	-104.155551623
74	-0.395656033118	-104.262089821	0.120971711451	-104.075615965	-104.204607073
